strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/France/IDF-IPP00401/2021	2021-01-08	20I/501Y.V1	France	Ile De France	Ile De France	EPI_ISL_860845	Labo Analyses med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Amzalag Jonas		Thiais
hCoV-19/France/PAC-IHU-3160/2021	2021-01-26	20I/501Y.V1	France	Provence-Alpes-Cote-dAzur	Provence-Alpes-Cote-dAzur	EPI_ISL_982878	MEPHI Aix Marseille University (AMU)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	MEPHI Aix Marseille University (AMU)		Anthony LEVASSEUR		Marseille
hCoV-19/Switzerland/BE-ETHZ-461582/2021	2021-01-21	20I/501Y.V1	Switzerland	Bern	Bern	EPI_ISL_1129581	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/France/APM-CERBAHC-20211018-72/2021	2021-01-08	20I/501Y.V1	France	Alpes Maritimes	Alpes Maritimes	EPI_ISL_860716	Cerballiance Côte d'Azur	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CERBA LAB		Roquebert B; Prots.L; Barrieu-Moussat S;Haïm-Boukobza S.		
hCoV-19/France/PAC-HCL021019183601/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359819	BIOGROUP MOUANS SARTOUX	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Mouans-Sartoux
hCoV-19/France/PAC-HCL021019105801/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote d'Azur	Provence-Alpes-Cote d'Azur	EPI_ISL_1220128	BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Mouans-Sartoux
hCoV-19/France/PAC-HCL021019338401/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359832	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Le Muy
hCoV-19/France/PAC-HCL021019181901/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359818	BIOGROUP MOUANS SARTOUX	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Mouans-Sartoux
hCoV-19/Austria/CeMM3115/2021	2021-01-14	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934690	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM3191/2021	2021-01-21	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1008195	Institut für Pathologie, Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3189/2021	2021-01-21	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1008193	Institut für Pathologie, Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3394/2021	2021-01-26	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1117810	Institut für Pathologie,  Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3402/2021	2021-01-31	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1117816	Institut für Pathologie,  Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3395/2021	2021-01-26	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1117811	Institut für Pathologie,  Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3194/2021	2021-01-19	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1008198	Institut für Pathologie, Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3399/2021	2021-01-29	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1117814	Institut für Pathologie,  Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3188/2021	2021-01-21	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1008192	Institut für Pathologie, Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/Austria/CeMM3190/2021	2021-01-21	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1008194	Institut für Pathologie, Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Vöcklabruck
hCoV-19/England/LOND-12F8D0F/2021	2021-01-30	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309060	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer		
hCoV-19/Switzerland/AG-UZH-IMV-3ba3d7a8/2021	2021-01-28	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1082347	Kantonsspital Baden AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Medical Virology, University of Zurich		Verena Kufner, Gabriela Ziltener, Stefan Schmutz, Maryam Zaheri, Annette Audigé, Maria Grünberg, Kevin Steiner, Jon Huder, Cyril Shah, Riccarda Capaul, Guido Bloemberg, Jürg Böni, Michael Huber, Alexandra Trkola		
hCoV-19/Switzerland/AG-UZH-IMV-3ba3d78f/2021	2021-01-28	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1082346	Kantonsspital Baden AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Medical Virology, University of Zurich		Verena Kufner, Gabriela Ziltener, Stefan Schmutz, Maryam Zaheri, Annette Audigé, Maria Grünberg, Kevin Steiner, Jon Huder, Cyril Shah, Riccarda Capaul, Guido Bloemberg, Jürg Böni, Michael Huber, Alexandra Trkola		
hCoV-19/Switzerland/AG-ETHZ-471079/2021	2021-01-27	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1129394	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/AG-ETHZ-461498/2021	2021-01-20	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1129327	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/AG-UZH-IMV-3ba3d68d/2021	2021-01-27	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1082343	Kantonsspital Baden AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Medical Virology, University of Zurich		Verena Kufner, Gabriela Ziltener, Stefan Schmutz, Maryam Zaheri, Annette Audigé, Maria Grünberg, Kevin Steiner, Jon Huder, Cyril Shah, Riccarda Capaul, Guido Bloemberg, Jürg Böni, Michael Huber, Alexandra Trkola		
hCoV-19/Germany/NW-IMB15521/2021	2021-01-25	20I/501Y.V1	Germany	North Rhine-Westphalia	North Rhine-Westphalia	EPI_ISL_1364889	Universitätsklinikum Knappschaftskrankenhaus Bochum	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bundeswehr Institute of Microbiology		Markus Antwerpen, Alexandra Rehn, Mathias Walter, Malena Bestehorn-Willmann, Mike Pillukat, Sabine Zange, Enrico Georgi, Roman Wölfel		
hCoV-19/Austria/CeMM3726/2021	2021-01-29	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_1008346	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Wien-Stadt
hCoV-19/Scotland/QEUH-11CAA6A/2021	2021-01-31	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1054216	Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Darren L Smith,Andrew Nelson,Matthew Bashton,Greg R Young,Joshua Loh,John Allan,Mohammad A Tariq,Giles S Holt,Gary Black,Wen C Yew,Lynn Dover,Paul Baker,Steve Liggett,Sarah Essex,Jane Greenaway,Debra Padgett,Clive Graham,Garren Scott,Edward Barton,Emma Swindells,Brendan Payne,Jennifer Collins,Yusri Taha,Gary Eltringham		
hCoV-19/England/NORW-22CA3B/2021	2021-01-22	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1249045	Quadram Institute Bioscience	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker, Gemma L. Kay, Alp Aydin, Thanh Le-Viet, Steven Rudder, Ana P. Tedim, Anastasia Kolyva, Maria Diaz, Leonardo de Oliveira Martins, Nabil-Fareed Alikhan, Lizzie Meadows, Rachael Stanley, Ngozi Elumogo, Muhammed Yasir, Nicholas M. Thomson, Alexander J Trotter, Rachel Gilroy, Samuel Bloomfield, Claire Stuart, Andrew Bell, Reenesh Prakash, Samir Dervisevic, Alison E. Mather, John Wain, Mark Webber, Andrew J. Page, Justin O’Grady		
hCoV-19/Austria/CeMM3097/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934673	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM3102/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934678	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM2617/2021	2021-01-12	20I/501Y.V1	Austria	Styria	Styria	EPI_ISL_934554	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM2618/2021	2021-01-12	20I/501Y.V1	Austria	Styria	Styria	EPI_ISL_934555	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Germany/HH-HPI-p3164/2021	2021-01-19	20I/501Y.V1	Germany	Hamburg	Hamburg	EPI_ISL_903365	University Medical Center Hamburg Eppendorf	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Heinrich Pette Institute, Leibniz Institute for Experimental Virology		Alexis Robitaille, Thomas Günther, Johannes Knobloch, Martin Aepfelbacher, Nicole Fischer, Adam Grundhoff		
hCoV-19/Germany/HH-HPI-p3165/2021	2021-01-15	20I/501Y.V1	Germany	Hamburg	Hamburg	EPI_ISL_903366	University Medical Center Hamburg Eppendorf	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Heinrich Pette Institute, Leibniz Institute for Experimental Virology		Alexis Robitaille, Thomas Günther, Johannes Knobloch, Martin Aepfelbacher, Nicole Fischer, Adam Grundhoff		
hCoV-19/Switzerland/LU-ETHZ-480777/2021	2021-01-05	20I/501Y.V1	Switzerland	Lucerne	Lucerne	EPI_ISL_1130145	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Christian Beisel, Sarah Nadeau, Chaoran Chen, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Rebecca Denes, Mirjam Feldkamp, Ina Nissen, Natascha Santacroce, Elodie Burcklen, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza, Niko Beerenwinkel, Tanja Stadler		
hCoV-19/England/210300679/2021	2021-01-16	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296550	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		PHE Covid Sequencing Team		
hCoV-19/Poland/NIPH-NIH_ECDC-041/2021	2021-01-28	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1091408	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH		Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team		Warsaw
hCoV-19/Germany/BE-ChVir23056/2021	2021-01-22	20I/501Y.V1	Germany	Berlin	Berlin	EPI_ISL_912266	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Charité Universitätsmedizin Berlin, Institut für Virologie		Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Tobias Bleicker, Julia Tesch, Talitha Veith, Julia Schneider, Terry Jones, Christian Drosten		
hCoV-19/England/BIRM-BCYEE4/2021	2021-01-05	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1474497	University of Birmingham	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Institute of Microbiology, University of Birmingham: Claire McMurray, Joanne Stockton, Samuel Nicholls, Radoslaw Poplawski, Will Rowe, Josh Quick, Nicholas Loman. University of Birmingham Testing Laboratory:  Celina M Whalley, Andrew Bosworth, Charlotte Poxon, Kasun Wanigasooriya, Oliver Pickles, Mike Kidd, Alex Richter, Andrew D Beggs PHE Heartlands Lab: Husam Osman, Andrew Bosworth. Queen Elizabeth Hospital: Anna Casey		
hCoV-19/England/NORW-22C96B/2021	2021-01-24	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1249037	Quadram Institute Bioscience	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker, Gemma L. Kay, Alp Aydin, Thanh Le-Viet, Steven Rudder, Ana P. Tedim, Anastasia Kolyva, Maria Diaz, Leonardo de Oliveira Martins, Nabil-Fareed Alikhan, Lizzie Meadows, Rachael Stanley, Ngozi Elumogo, Muhammed Yasir, Nicholas M. Thomson, Alexander J Trotter, Rachel Gilroy, Samuel Bloomfield, Claire Stuart, Andrew Bell, Reenesh Prakash, Samir Dervisevic, Alison E. Mather, John Wain, Mark Webber, Andrew J. Page, Justin O’Grady		
hCoV-19/Germany/RP-ChVir22849/2021	2021-01-20	20I/501Y.V1	Germany	Rhineland-Palatinate	Rhineland-Palatinate	EPI_ISL_909751	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Charité Universitätsmedizin Berlin, Institut für Virologie		Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Tobias Bleicker, Julia Tesch, Talitha Veith, Julia Schneider, Terry Jones, Christian Drosten		
hCoV-19/Denmark/DCGC-29086/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_844727	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		Danish Covid-19 Genome Consortium		
hCoV-19/Denmark/DCGC-28633/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_844751	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		Danish Covid-19 Genome Consortium		
hCoV-19/Slovakia/CeMM4295/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495208	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4294/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495207	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/England/BRIS-2618C7/2021	2021-01-22	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308574	University of Exeter	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Ben Temperton,Aaron Jeffries,Michelle Michelsen,Joanna Warwick-Dugdale,Audrey Farbos,Robyn Manley,Stephen Michell,Jane Masoli		
hCoV-19/England/210220951/2021	2021-01-12	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296528	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		PHE Covid Sequencing Team		
hCoV-19/Germany/HH-HPI-p3167/2021	2021-01-19	20I/501Y.V1	Germany	Hamburg	Hamburg	EPI_ISL_903364	University Medical Center Hamburg Eppendorf	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Heinrich Pette Institute, Leibniz Institute for Experimental Virology		Alexis Robitaille, Thomas Günther, Johannes Knobloch, Martin Aepfelbacher, Nicole Fischer, Adam Grundhoff		
hCoV-19/Poland/Pomorskie_MWB_33/2021	2021-01-12	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_930785	Laboratory of Molecular Biology, Diagnostyka sp. z o.o.	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Anna Piotrowska-Mietelska,Izabela Szczygielska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/England/210421158/2021	2021-01-26	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296581	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		PHE Covid Sequencing Team		
hCoV-19/Germany/NI-IMB15346/2021	2021-01-25	20I/501Y.V1	Germany	Lower Saxony	Lower Saxony	EPI_ISL_915432	Bundeswehrkrankenhaus Westerstede	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bundeswehr Institute of Microbiology		Markus Antwerpen, Klaus Peter Ebert, Alexandra Rehn, Mathias Walter, Malena Bestehorn-Willmann, Sabine Zange, Enrico Georgi, Roman Wölfel		
hCoV-19/England/BRIS-2616DC/2021	2021-01-22	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308552	University of Exeter	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Ben Temperton,Aaron Jeffries,Michelle Michelsen,Joanna Warwick-Dugdale,Audrey Farbos,Robyn Manley,Stephen Michell,Jane Masoli		
